sample_id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDBI,NDVI,NDWI
RS01_001,1910.5,937,412,598,414,891,2409.5,3145,3027,3459,0.5272452235221863,-0.22612658143043518,0.7593722939491272,-0.6700689792633057
RS01_002,2055,839,275,478,265,776,3048,3856,3763,4230,0.6353759169578552,-0.29357168078422546,0.8684210777282715,-0.7745814919471741
RS01_003,1596.5,615.5,294.5,416,230,632,2747,3842.5,3764,4168.5,0.7189176678657532,-0.40434661507606506,0.8848272562026978,-0.8009569644927979
RS01_004,1712,669,254,441,258,758,3014,3845,3740,4261,0.6965298056602478,-0.37197357416152954,0.8709354400634766,-0.7890456914901733
RS01_005,1952,912,1230,1326,1002,1470,3063,3732,3996,4080,0.6283618807792664,-0.343644917011261,0.599039614200592,-0.5016911029815674
RS01_006,1227,529,560,542,388,633,1916,2627,2460,2874,0.6460354924201965,-0.33441823720932007,0.7275280952453613,-0.6389073729515076
RS01_007,1991,924,490,656,446,947,2849,3792,3852,4157,0.6130653023719788,-0.3185007572174072,0.792461633682251,-0.7089618444442749
RS01_008,1274,544.5,307.5,419,265,631,1949,2596.5,2441,2752,0.6352369785308838,-0.31413188576698303,0.8041389584541321,-0.7069929838180542
RS01_009,2191,1030,477,692,444,986,2923,3729,3672,4025,0.561888575553894,-0.2526010572910309,0.7842565774917603,-0.6828597784042358
RS01_010,1884,726,361,492,288,731,3152,4335,4584,4600,0.7265536785125732,-0.41743969917297363,0.8817734122276306,-0.8061465620994568
RS01_011,1711,698,280,422,273,700,2379,3128,2798,3541,0.6006864905357361,-0.24107341468334198,0.8222077488899231,-0.7378882169723511
RS01_012,2394,1553.5,1698.5,1550.5,1309,1835.5,3317,4067,4090,4245,0.4494551122188568,-0.2615669369697571,0.5150954127311707,-0.4502260386943817
RS01_013,1150.5,505.5,228.5,341,208.5,504,1918.5,2642,2444,2899.5,0.657230019569397,-0.3598553240299225,0.8427898287773132,-0.7551167011260986
RS01_014,1650.5,674.5,225,398,256,658.5,2534,3414.5,3200,3687,0.651826024055481,-0.31945160031318665,0.8518518805503845,-0.7787659764289856
RS01_015,1659.5,678,299.5,467.5,286,687,2689.5,3684,3656,3984,0.6871250867843628,-0.3755996525287628,0.8548960089683533,-0.7732508778572083
RS01_016,1931,881,423,471,356,864,2520,3299,3272,3680,0.5757284164428711,-0.2577359080314636,0.803748607635498,-0.7483302354812622
RS01_017,1920,869,374,492,298,811,3000,3976,3748,4174,0.6235650777816772,-0.32251235842704773,0.852694034576416,-0.7679245471954346
RS01_018,1629,680,269,436,229,712,2354,3135,3429,3482,0.6690192222595215,-0.35587188601493835,0.8747949600219727,-0.7743855118751526
RS01_019,3554,2084,4132,4200,4104,4520,5374,5880,5664,5851,0.4620547294616699,-0.2288999855518341,0.15970516204833984,-0.14841848611831665
RS01_020,1968.5,870,275.5,485,302.5,830,2875,3716.5,3694,4046,0.6187554597854614,-0.3047240674495697,0.8486175537109375,-0.7678870558738708
RS01_021,1738,680,247,418,250,671,2610,3517,3353,3907,0.6627820730209351,-0.31722646951675415,0.8612267374992371,-0.7783081531524658
RS01_022,3327,2366,966,1270,1598,1944,2223,2335,2008,2359,-0.08184728026390076,0.2472352385520935,0.11369939148426056,-0.22513727843761444
RS01_023,2368,1269,544,770,549,1094,3499,4515,4456,4904,0.556681215763092,-0.3059788942337036,0.7806193828582764,-0.7053195834159851
RS01_024,2328,1049,1286,1136,802,1424,3034,3957,3808,4236,0.5680460929870605,-0.24119947850704193,0.6520607471466064,-0.5404530763626099
RS01_025,1782.5,816.5,867.5,1056,892.5,1055,2646,3379,3324,3587.5,0.6056031584739685,-0.3018701672554016,0.5766631364822388,-0.517808198928833
RS01_026,2131,1098,354,536,509,1018,2580,3463.5,3301,3560,0.5007956624031067,-0.21539027988910675,0.7328084111213684,-0.7206150889396667
RS01_027,954,403,206,316.5,202.5,463,1463,1931,1843,2053,0.641139805316925,-0.3178405463695526,0.8020043969154358,-0.7068765759468079
RS01_028,715,281,471,468,302,496,1392,1912,2063,2000,0.7602388858795166,-0.485241174697876,0.7446088790893555,-0.6301857233047485
RS01_029,1985,911,400,566,399,804,2512,3231,3356,3501,0.5730020999908447,-0.2566935122013092,0.7874833345413208,-0.7113717198371887
RS01_030,1709,757,310,468,287,712,2422,3128,3128,3408,0.6102960109710693,-0.29336366057395935,0.8319180011749268,-0.739710807800293
RS01_031,1787.5,769,318,501.5,268.5,803,2611,3305,3164,3551,0.6089498996734619,-0.27799656987190247,0.8435542583465576,-0.7263674736022949
RS01_032,3008,2289,3021,2692,2509.5,3208.5,4206.5,4657,4082,4777.5,0.28143149614334106,-0.15148095786571503,0.23856481909751892,-0.2051963359117508
RS01_033,1730.5,726,368,494.5,306.5,700.5,2712.5,3601.5,3504,3884,0.6567375659942627,-0.3388098180294037,0.8391287326812744,-0.7526572346687317
RS01_034,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RS01_035,1868,778,292,476,325,841,2939,3919,3616,4246,0.6458807587623596,-0.3187454342842102,0.8350672125816345,-0.7673509120941162
RS01_036,1792,831,343.5,460,319.5,761,2455,3286,3190,3530.5,0.5866699814796448,-0.28061020374298096,0.8179227709770203,-0.7479451894760132
RS01_037,1732,672,238,408,235,704,2851,3702,3731,4019,0.6947535872459412,-0.3659161627292633,0.8814926743507385,-0.8028509020805359
RS01_038,2186.5,987,336,602,300.5,986,3188.5,4110,3998,4407,0.6040120124816895,-0.2929096817970276,0.8601837754249573,-0.7382608652114868
RS01_039,1825,764.5,317.5,505.5,311.5,760,2797.5,3720.5,3710,4044,0.6582858562469482,-0.34056007862091064,0.845082700252533,-0.7601708173751831
RS01_040,1553,718.5,341,461,302,697.5,2397,3175,2997,3452,0.6132418513298035,-0.31736263632774353,0.8169142007827759,-0.733371913433075
RS01_041,1862,868,338,466,362,772,2158,2854,2814,3050,0.5285171270370483,-0.20359280705451965,0.7720403075218201,-0.7158536314964294
RS01_042,1786,805,290,443,392,719,2231,2944,2658,3262,0.5350852012634277,-0.19621962308883667,0.7429507970809937,-0.7142857313156128
RS01_043,1960,804,822,946,670,1187,3398,4461,4221,4791,0.6800000071525574,-0.3657984137535095,0.7260273694992065,-0.6338300704956055
RS01_044,1732,819.5,367.5,603,448,894.5,2953,4091.5,3854,4377.5,0.6492992639541626,-0.3798782527446747,0.7917248010635376,-0.7294144034385681
RS01_045,2838,1757.5,3638,3639,3688,4083,5002,5582,4766,5761.5,0.46117880940437317,-0.25355076789855957,0.1275136023759842,-0.13408684730529785
RS01_046,1676.5,673.5,304,456,273.5,666,2535.5,3592,3522,3908,0.6789417266845703,-0.35500624775886536,0.8558819890022278,-0.7707390785217285
RS01_047,1666,649,235,375,219,649,2848,3750,3912,4176,0.7154132723808289,-0.4026532769203186,0.8939723968505859,-0.8250524997711182
RS01_048,1669,678,238,411,243,670,2580,3458,3251,3832,0.6548740267753601,-0.32154470682144165,0.8609043955802917,-0.7755324840545654
RS01_049,1582,585,200,372,198,622,2723,3703,3673,3998,0.7252231240272522,-0.39790675044059753,0.897700846195221,-0.8160692453384399
RS01_050,1964,757,342,520,291,783,3261,4506,4324,4763,0.7020271420478821,-0.37531808018684387,0.8738895058631897,-0.7853013873100281
RS01_051,1734,746,282,469,280,752,2494,3268,3224,3641,0.6241813898086548,-0.30052441358566284,0.8401826620101929,-0.7460059523582458
