sample_id,dw_entropy,dw_margin,dw_max_probability,dw_entropy_full_8class,dw_margin_full_8class,dw_max_probability_full_8class,dw_entropy_partial_5class,dw_margin_partial_5class,dw_max_probability_partial_5class,dw_water,dw_trees,dw_flooded_vegetation,dw_crops,dw_built,fdp_palm_probability_2023,fdp_rubber_probability_2023,screening_score,active_score
RS01_001,0.4613905326644732,0.7152379999999999,0.752173,0.4613905326644732,0.7152379999999999,0.752173,0.37204907427178263,0.7152379999999999,0.752173,0.031136,0.752173,0.027177,0.036935,0.027475,0.996078,0.0,6.0,
RS01_002,0.518791300716583,0.665349,0.714478,0.518791300716583,0.665349,0.714478,0.3943519948116248,0.679762,0.714478,0.03142,0.714478,0.033029,0.034716,0.028334,0.956863,0.023529,6.0,
RS01_003,0.4795926863860538,0.683925,0.732251,0.4795926863860538,0.683925,0.732251,0.39257661042757264,0.683925,0.732251,0.032329,0.732251,0.027026,0.048326,0.02385,0.996078,0.0,6.0,
RS01_004,0.4587845876629372,0.716197,0.75175,0.4587845876629372,0.716197,0.75175,0.3558009968411874,0.716197,0.75175,0.02914,0.75175,0.029178,0.035553,0.020967,0.992157,0.0,6.0,
RS01_005,0.7842649084155242,0.377944,0.470459,0.7842649084155242,0.377944,0.470459,0.7154452087964123,0.377944,0.470459,0.068031,0.470459,0.092515,0.058811,0.050372,0.996078,0.0,6.0,
RS01_006,0.7793947121576177,0.1874279999999999,0.386389,0.7793947121576177,0.1874279999999999,0.386389,0.6760121353757562,0.302426,0.386389,0.040271,0.386389,0.035287,0.039465,0.083963,0.996078,0.0,6.0,
RS01_007,0.7467657781005561,0.385867,0.511023,0.7467657781005561,0.385867,0.511023,0.6942257493439397,0.385867,0.511023,0.075531,0.511023,0.04012,0.125156,0.047559,0.984314,0.0,6.0,
RS01_008,0.7179510704786787,0.4088459999999999,0.53775,0.7179510704786787,0.4088459999999999,0.53775,0.6328137170436828,0.40884599999999993,0.53775,0.03401,0.53775,0.045002,0.128904,0.044572,0.996078,0.0,6.0,
RS01_009,0.8360609821578744,0.2637239999999999,0.40545,0.8360609821578744,0.2637239999999999,0.40545,0.7923569775449407,0.26372399999999996,0.40545,0.039536,0.40545,0.053942,0.141726,0.112526,0.992157,0.0,6.0,
RS01_010,0.7918295981407695,0.263947,0.397982,0.7918295981407695,0.263947,0.397982,0.7073326646322715,0.26394700000000004,0.397982,0.032768,0.397982,0.035835,0.134035,0.052272,0.992157,0.0,6.0,
RS01_011,0.4823344835359718,0.696535,0.741229,0.4823344835359718,0.696535,0.741229,0.35995296738152155,0.709889,0.741229,0.029024,0.741229,0.025596,0.03134,0.028728,0.992157,0.0,6.0,
RS01_012,0.5540100222826546,0.5790919999999999,0.676028,0.5540100222826546,0.5790919999999999,0.676028,0.47542774855498243,0.5790919999999999,0.676028,0.031992,0.676028,0.022925,0.096936,0.02815,0.996078,0.0,6.0,
RS01_013,0.6037391742019528,0.5033299999999999,0.629968,0.6037391742019528,0.5033299999999999,0.629968,0.5637282720282563,0.5033299999999999,0.629968,0.0357,0.629968,0.024232,0.126638,0.049301,0.996078,0.0,6.0,
RS01_014,0.4802712779022828,0.692592,0.739898,0.4802712779022828,0.692592,0.739898,0.3869081683178138,0.692592,0.739898,0.02827,0.739898,0.023806,0.047306,0.030317,0.996078,0.0,6.0,
RS01_015,0.6398742554405188,0.429156,0.585838,0.6398742554405188,0.429156,0.585838,0.5702628995892022,0.429156,0.585838,0.03336,0.585838,0.024735,0.156682,0.031124,0.996078,0.0,6.0,
RS01_016,0.6043587638444398,0.544079,0.637954,0.6043587638444398,0.544079,0.637954,0.5197050780033204,0.544079,0.637954,0.035655,0.637954,0.031759,0.093875,0.032626,0.992157,0.0,6.0,
RS01_017,0.5869769874896127,0.53642,0.644714,0.5869769874896127,0.53642,0.644714,0.5167201123191419,0.53642,0.644714,0.034967,0.644714,0.021019,0.108294,0.03739,0.984314,0.0,6.0,
RS01_018,0.4976012618417528,0.663581,0.725337,0.4976012618417528,0.663581,0.725337,0.41846514800301016,0.663581,0.725337,0.032194,0.725337,0.025671,0.061756,0.026889,0.992157,0.0,6.0,
RS01_019,0.5862430914153108,0.552042,0.652425,0.5862430914153108,0.552042,0.652425,0.5089560947890788,0.552042,0.652425,0.030814,0.652425,0.032458,0.100383,0.030559,0.996078,0.0,6.0,
RS01_020,0.5604185365050501,0.613726,0.680647,0.5604185365050501,0.613726,0.680647,0.47731817065087123,0.613726,0.680647,0.026992,0.680647,0.029724,0.066921,0.04818,0.996078,0.0,6.0,
RS01_021,0.5234027746429354,0.647653,0.706003,0.5234027746429354,0.647653,0.706003,0.4294680067017422,0.647653,0.706003,0.03638,0.706003,0.029536,0.05835,0.023777,0.996078,0.0,6.0,
RS01_022,0.8813729022809624,0.038918,0.247428,0.8813729022809624,0.038918,0.247428,0.8129585927459048,0.150275,0.20851,0.040812,0.031777,0.058235,0.20851,0.042914,0.988235,0.0,6.0,
RS01_023,0.5877593431345467,0.5190659999999999,0.640249,0.5877593431345467,0.5190659999999999,0.640249,0.5331013215885444,0.5190659999999999,0.640249,0.029055,0.640249,0.028811,0.121183,0.036701,0.996078,0.0,6.0,
