"sample_id","longitude","latitude","class_code","class_name","verified","region_key","extension_stratum","final_review_decision","user_confirmation_status","user_confirmation_timestamp_utc","verification_source","verification_notes"
"RS01_001","103.5208138","1.4383726","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_002","103.0615144","2.4483362","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_003","103.5071487","2.0835607","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_004","102.8987605","2.5756798","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_005","102.6807954","2.1636344","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_006","102.8169735","1.8977126","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_007","102.6702605","2.1374367","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_008","104.1288078","1.5563003","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_009","102.7648931","2.1294615","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_010","102.3939623","2.3634145","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_011","103.1331855","2.0308149","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_012","103.6809226","2.408673","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_013","103.0101811","1.795069","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_014","103.5518473","1.7818462","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_015","103.4332191","2.2775186","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_016","103.2442284","1.7130013","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_017","102.6008708","2.3326234","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_018","103.0708762","2.253429","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_019","104.1194197","1.7803716","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_020","102.5476783","2.8034101","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_021","103.0028103","2.2601784","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_022","102.5775901","2.408082","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_023","102.5004858","2.2190227","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_024","102.9053496","1.9152465","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_025","103.5333556","1.4584071","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_026","103.0745937","1.7955253","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_027","103.5668328","1.8486261","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_028","102.703293","2.0370183","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_029","102.8062163","2.2659009","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_030","103.156269","1.9442598","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_031","103.6731291","1.8593174","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_032","103.0504313","1.805315","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_033","103.6272637","1.7605608","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_034","102.8178758","2.7602902","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_035","102.9687323","2.4528395","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_036","103.4215367","1.7157126","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_037","102.9505928","2.705551","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_038","103.4364729","1.8658372","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_039","103.9083223","2.1187873","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_040","103.6123729","2.3149422","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_041","103.2740914","1.838259","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_042","102.9520903","2.0584523","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_043","102.7137238","2.1072215","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_044","104.1634585","1.6022438","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_045","103.7723509","2.1747769","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_046","103.362559","2.288443","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_047","103.2475371","2.2578362","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_048","102.9876129","2.2389402","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_049","103.0429585","2.4915421","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_050","102.3975387","2.23365","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_051","103.171839","1.8968746","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_052","102.6925986","2.2722704","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_053","102.8568468","2.8241164","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_054","103.5224022","2.1473806","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_055","103.5008587","2.5872617","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_056","103.0835864","2.343374","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_057","102.8363318","1.9396572","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_058","103.0300023","2.1796751","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_059","103.2730981","1.65265","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_060","103.5307765","2.526978","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_061","103.4565785","1.9237373","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_062","102.5492467","2.1068723","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_063","103.9214351","2.0196329","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_064","103.97142","2.0658203","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_065","103.5062495","1.9588691","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_066","103.2493966","2.2829033","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_067","103.0224834","2.2260227","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_068","103.4507523","2.607557","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_069","103.3834342","1.838674","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_070","103.0291512","1.8841722","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_071","102.3722021","2.6542854","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_072","103.4535344","1.7492371","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_073","102.863098","2.0158812","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_074","102.4439147","2.347156","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_075","103.6762516","2.4610167","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_076","103.310144","2.2593177","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_077","103.5022814","1.9350508","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_078","103.5731267","1.7564463","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_079","103.7596198","1.8252197","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"RS01_080","103.0231053","2.1578313","1","oil_palm","True","study_area","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"TJ04_033","102.1413157","3.0200762","1","oil_palm","True","johor_negeri_pahang_rubber_belt","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
"TJ04_036","101.5550258","3.4547801","1","oil_palm","True","johor_negeri_pahang_rubber_belt","","ACCEPT","USER_CONFIRMED_EXISTING_VERIFIED","20260602T000000Z","Previously user-confirmed verified reference sample","Existing verified row carried into locked final reference set."
