kind,label,caption_present,body_mention_present,status
figure,1,True,True,OK
figure,2,True,True,OK
figure,3,True,True,OK
figure,4,True,True,OK
figure,5,True,True,OK
figure,6,True,True,OK
figure,S1,True,True,OK
figure,S2,True,True,OK
figure,S3,True,True,OK
table,1,True,True,OK
table,2,True,True,OK
table,3,True,True,OK
table,4,True,True,OK
table,5,True,True,OK
table,6,True,True,OK
table,7,True,True,OK
table,8,True,True,OK
table,9,True,True,OK
table,10,True,True,OK
table,11,True,True,OK
table,12,True,True,OK
table,13,True,True,OK
table,14,True,True,OK
table,15,True,True,OK
table,16,True,True,OK
table,17,True,True,OK
table,18,True,True,OK
