timestamp,config_hash,input_files,random_seed,status,reason,stack,model,held_out_region,n_train,n_test,n_test_dropped_unseen_class,oa,macro_f1,classes_train,classes_test_evaluated
20260612T173523Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_1,604,18,0,0.3888888888888889,0.17777777777777778,1|2|3|4|5|6,1|3|4
20260612T173527Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_1,604,18,0,0.3333333333333333,0.15584415584415584,1|2|3|4|5|6,1|3|4
20260612T173530Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_2,572,50,0,0.58,0.41711040798477134,1|2|3|4|5|6,1|2|3|4|6
20260612T173534Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_2,572,50,0,0.58,0.3981813015061097,1|2|3|4|5|6,1|2|3|4|6
20260612T173537Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_40_2,595,27,0,0.5555555555555556,0.2600732600732601,1|2|3|4|5|6,1|2|3|4|5
20260612T173540Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_40_2,595,27,0,0.5555555555555556,0.25412087912087916,1|2|3|4|5|6,1|2|3|4|5
20260612T173544Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_2,621,1,0,0.0,0.0,1|2|3|4|5|6,5
20260612T173548Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_2,621,1,0,0.0,0.0,1|2|3|4|5|6,5
20260612T173552Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_3,621,1,0,0.0,0.0,1|2|3|4|5|6,6
20260612T173556Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_3,621,1,0,0.0,0.0,1|2|3|4|5|6,6
20260612T173600Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_4,621,1,0,1.0,1.0,1|2|3|4|5|6,5
20260612T173603Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_4,621,1,0,1.0,1.0,1|2|3|4|5|6,5
20260612T173607Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,johor_negeri_pahang_rubber_belt,547,75,0,0.28,0.22705802968960861,1|2|3|4|5|6,1|2|4
20260612T173611Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,johor_negeri_pahang_rubber_belt,547,75,0,0.25333333333333335,0.16461038961038962,1|2|3|4|5|6,1|2|4
20260612T173615Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,kedah_perlis_paddy_belt,491,131,0,0.35877862595419846,0.24676643920595534,1|2|3|4|5|6,3|5|6
20260612T173618Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,kedah_perlis_paddy_belt,491,131,0,0.3511450381679389,0.238990638990639,1|2|3|4|5|6,3|5|6
20260612T173622Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,study_area,304,318,0,0.2389937106918239,0.2544257300011074,1|2|3|4|5|6,1|2|3|4|5|6
20260612T173625Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,study_area,304,318,0,0.27044025157232704,0.288127933679286,1|2|3|4|5|6,1|2|3|4|5|6
20260612T173627Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_39_1,604,18,0,0.4444444444444444,0.22272727272727275,1|2|3|4|5|6,1|3|4
20260612T173630Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_39_1,604,18,0,0.5,0.35,1|2|3|4|5|6,1|3|4
20260612T173635Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_39_2,572,50,0,0.6,0.414176245210728,1|2|3|4|5|6,1|2|3|4|6
20260612T173638Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_39_2,572,50,0,0.64,0.4334876543209876,1|2|3|4|5|6,1|2|3|4|6
20260612T173643Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_40_2,595,27,0,0.5925925925925926,0.33474747474747474,1|2|3|4|5|6,1|2|3|4|5
20260612T173647Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_40_2,595,27,0,0.6666666666666666,0.5936853002070392,1|2|3|4|5|6,1|2|3|4|5
20260612T173649Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,fold3_teacher_vhr_cell_88_2,621,1,0,0.0,0.0,1|2|3|4|5|6,5
20260612T173652Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,fold3_teacher_vhr_cell_88_2,621,1,0,0.0,0.0,1|2|3|4|5|6,5
20260612T173654Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,fold3_teacher_vhr_cell_88_3,621,1,0,0.0,0.0,1|2|3|4|5|6,6
20260612T173657Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,fold3_teacher_vhr_cell_88_3,621,1,0,0.0,0.0,1|2|3|4|5|6,6
20260612T173700Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,fold3_teacher_vhr_cell_88_4,621,1,0,1.0,1.0,1|2|3|4|5|6,5
20260612T173703Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,fold3_teacher_vhr_cell_88_4,621,1,0,0.0,0.0,1|2|3|4|5|6,5
20260612T173706Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,johor_negeri_pahang_rubber_belt,547,75,0,0.29333333333333333,0.18305408583186358,1|2|3|4|5|6,1|2|4
20260612T173708Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,johor_negeri_pahang_rubber_belt,547,75,0,0.30666666666666664,0.1893094949049038,1|2|3|4|5|6,1|2|4
20260612T173712Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,kedah_perlis_paddy_belt,491,131,0,0.4961832061068702,0.3286193722692446,1|2|3|4|5|6,3|5|6
20260612T173715Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,kedah_perlis_paddy_belt,491,131,0,0.5114503816793893,0.3365501853991608,1|2|3|4|5|6,3|5|6
20260612T173717Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,study_area,304,318,0,0.36163522012578614,0.3746545199165165,1|2|3|4|5|6,1|2|3|4|5|6
20260612T173720Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,study_area,304,318,0,0.3867924528301887,0.3824840969679338,1|2|3|4|5|6,1|2|3|4|5|6
20260612T173722Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,RandomForest,advisor_vhr_cell_39_1,604,18,0,0.6666666666666666,0.547270955165692,1|2|3|4|5|6,1|3|4
20260612T173724Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,XGBoost,advisor_vhr_cell_39_1,604,18,0,0.5,0.27999999999999997,1|2|3|4|5|6,1|3|4
