timestamp,config_hash,input_files,random_seed,status,reason,stack,model,held_out_region,alpha,target_coverage,empirical_coverage,average_set_size,n_train,n_calibration,n_test,classes_retained,classes_dropped_below_min_count
20260612T173523Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_1,0.1,0.9,0.8888888888888888,3.6666666666666665,424,180,18,1|2|3|4|5|6,
20260612T173527Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_1,0.1,0.9,0.9444444444444444,3.611111111111111,424,180,18,1|2|3|4|5|6,
20260612T173530Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_2,0.1,0.9,0.96,3.56,392,180,50,1|2|3|4|5|6,
20260612T173534Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_2,0.1,0.9,0.94,3.42,392,180,50,1|2|3|4|5|6,
20260612T173537Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_40_2,0.1,0.9,0.9259259259259259,3.2222222222222223,415,180,27,1|2|3|4|5|6,
20260612T173540Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_40_2,0.1,0.9,0.8518518518518519,3.0,415,180,27,1|2|3|4|5|6,
20260612T173544Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_2,0.1,0.9,1.0,4.0,441,180,1,1|2|3|4|5|6,
20260612T173548Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_2,0.1,0.9,1.0,5.0,441,180,1,1|2|3|4|5|6,
20260612T173552Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_3,0.1,0.9,0.0,3.0,441,180,1,1|2|3|4|5|6,
20260612T173556Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_3,0.1,0.9,0.0,3.0,441,180,1,1|2|3|4|5|6,
20260612T173600Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,fold3_teacher_vhr_cell_88_4,0.1,0.9,1.0,3.0,441,180,1,1|2|3|4|5|6,
20260612T173603Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,fold3_teacher_vhr_cell_88_4,0.1,0.9,1.0,3.0,441,180,1,1|2|3|4|5|6,
20260612T173607Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,johor_negeri_pahang_rubber_belt,0.1,0.9,0.56,3.28,367,180,75,1|2|3|4|5|6,
20260612T173611Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,johor_negeri_pahang_rubber_belt,0.1,0.9,0.6266666666666667,3.4266666666666667,367,180,75,1|2|3|4|5|6,
20260612T173615Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,kedah_perlis_paddy_belt,0.1,0.9,0.9694656488549618,3.9389312977099236,311,180,131,1|2|3|4|5|6,
20260612T173618Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,kedah_perlis_paddy_belt,0.1,0.9,0.8854961832061069,3.732824427480916,311,180,131,1|2|3|4|5|6,
20260612T173622Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,study_area,0.1,0.9,0.7352941176470589,3.063025210084034,125,150,238,2|3|4|5|6,1:29
20260612T173625Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,study_area,0.1,0.9,0.7478991596638656,3.310924369747899,125,150,238,2|3|4|5|6,1:29
20260612T173627Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_39_1,0.1,0.9,0.8333333333333334,3.4444444444444446,424,180,18,1|2|3|4|5|6,
20260612T173630Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_39_1,0.1,0.9,0.8333333333333334,2.9444444444444446,424,180,18,1|2|3|4|5|6,
