stack,model,split,oa,macro_f1
B0,RandomForest,random,0.5449751861042184,0.5400312046912024
B0,RandomForest,spatial,0.32887912698690236,0.2838517728766252
B0,XGBoost,random,0.548252688172043,0.542266687128637
B0,XGBoost,spatial,0.33035043652471496,0.30025186524722
B1,RandomForest,random,0.6141645988420181,0.604104143076976
B1,RandomForest,spatial,0.3935651037278882,0.32927460189754143
B1,XGBoost,random,0.6141956162117452,0.6016234487875028
B1,XGBoost,spatial,0.391044953318325,0.33912934211300466
B2,RandomForest,random,0.7347394540942929,0.728580779525284
B2,RandomForest,spatial,0.4942423505801129,0.42664053447815387
B2,XGBoost,random,0.7090363937138131,0.7018059260310084
B2,XGBoost,spatial,0.4503873398976671,0.39488760167308634
B3,RandomForest,random,0.721887923904053,0.7150943640558725
B3,RandomForest,spatial,0.48323341579245915,0.41110267044476384
B3,XGBoost,random,0.7058312655086849,0.6963417571093812
B3,XGBoost,spatial,0.458098384621638,0.4030456697589414
