stack,model,split,ece
B0,RandomForest,random,0.08604924377643497
B0,RandomForest,spatial,0.22443326084164916
B0,XGBoost,random,0.13492419142784462
B0,XGBoost,spatial,0.34249310714820264
B1,RandomForest,random,0.06791724565756818
B1,RandomForest,spatial,0.14635717262690065
B1,XGBoost,random,0.12366836284702475
B1,XGBoost,spatial,0.2890250230755392
B2,RandomForest,random,0.11054263854425142
B2,RandomForest,spatial,0.12668290804134663
B2,XGBoost,random,0.11068367812015281
B2,XGBoost,spatial,0.22158084586040638
B3,RandomForest,random,0.11397477253928857
B3,RandomForest,spatial,0.11784751346829862
B3,XGBoost,random,0.11694959989688035
B3,XGBoost,spatial,0.2177833969677308
