timestamp,config_hash,input_files,random_seed,status,reason,scenario,range_multiplier,block_distance_m,n_spatial_cells,fold,train_count,test_count,buffered_out_count,test_cells,minimum_train_test_distance_m,zero_leakage_assertion
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_1.00x,1.0,126783.51747145985,16,1,184,124,314,89:1|89:4|90:2|90:4,127129.75612190778,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_1.00x,1.0,126783.51747145985,16,2,104,139,379,87:4|88:3|88:5|91:1,126794.40479851734,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_1.00x,1.0,126783.51747145985,16,3,30,219,373,87:2|87:5|90:1|90:3,127599.30429506731,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_1.00x,1.0,126783.51747145985,16,4,88,140,394,88:4|89:2|89:3|89:5,127695.02619802413,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.75x,0.75,95087.63810359489,30,1,164,39,419,116:3|117:3|118:3|118:6|118:7|120:4|120:6|121:3,95194.81409825847,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.75x,0.75,95087.63810359489,30,2,22,315,285,117:5|117:7|118:2|118:4|118:5|119:2|119:3|120:2,95614.31488732493,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.75x,0.75,95087.63810359489,30,3,106,151,365,117:6|118:1|119:1|119:4|119:5|119:6|121:1,95691.70752673456,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.75x,0.75,95087.63810359489,30,4,103,117,402,116:7|117:4|119:7|120:1|120:3|120:5|121:2,95440.67445009653,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.50x,0.5,63391.75873572993,49,1,112,179,331,175:11|175:8|176:11|176:7|176:9|177:8|178:10|178:3|178:5|178:6|179:2|179:6|180:4,64064.144295411024,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.50x,0.5,63391.75873572993,49,2,52,262,308,176:10|177:11|178:2|178:4|179:4|179:7|179:9|180:9|181:2|181:3|181:4|182:3,63439.602330234535,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.50x,0.5,63391.75873572993,49,3,128,123,371,174:4|175:4|175:9|177:9|178:7|179:3|179:5|180:2|180:3|181:5|181:6|182:2,63595.7275039832,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.50x,0.5,63391.75873572993,49,4,352,58,212,174:11|175:10|176:6|176:8|177:10|177:6|178:8|179:10|180:5|180:6|180:7|180:8,63572.780817793886,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.35x,0.35,44374.231115010945,75,1,259,100,263,249:6|250:13|250:16|252:12|252:13|252:9|253:12|253:15|255:15|255:5|255:6|255:7|256:10|257:13|258:10|258:11|258:9|259:3|260:4,44388.45351536127,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.35x,0.35,44374.231115010945,75,2,106,228,288,249:16|251:13|252:11|252:14|252:15|253:14|254:4|255:14|255:9|256:14|256:3|256:5|256:9|258:4|258:5|258:6|259:5|259:6|260:5,44499.61609229821,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.35x,0.35,44374.231115010945,75,3,134,150,338,249:15|250:15|251:10|251:12|251:15|252:10|253:13|254:3|254:6|254:7|254:9|256:6|256:8|257:10|257:11|257:14|257:5|257:7|260:3,44419.898763823345,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.35x,0.35,44374.231115010945,75,4,78,144,400,250:6|251:14|251:16|252:16|253:16|254:11|254:14|254:8|255:8|256:11|256:4|256:7|257:4|257:6|257:8|257:9|258:7|259:4,44659.21611758579,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.25x,0.25,31695.879367864964,116,1,181,149,292,350:23|350:9|352:17|352:18|352:21|353:14|353:23|355:12|356:16|356:20|356:6|357:21|358:11|358:14|358:7|358:8|359:13|359:15|359:4|360:16|360:6|360:9|361:16|361:6|361:7|362:13|363:4|365:4|365:5,31806.513440745846,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.25x,0.25,31695.879367864964,116,2,211,140,271,349:9|351:22|351:23|351:9|352:15|352:22|352:23|353:15|353:19|353:21|354:17|354:19|356:12|356:5|356:9|357:9|358:13|359:10|359:19|360:12|361:12|361:14|361:5|362:10|362:7|363:6|363:9|364:4|364:6,31836.560147089436,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.25x,0.25,31695.879367864964,116,3,112,200,310,351:19|352:20|353:18|353:22|354:20|354:22|357:11|357:13|357:8|358:10|358:20|358:21|359:11|359:12|359:14|359:6|359:7|359:8|359:9|360:14|360:18|360:7|360:8|361:8|362:5|362:9|363:5|363:8|364:5,31777.1614471095,True
20260612T173903Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/data/reference_samples_verified_622_public.csv;D:/Moved_From_C_2026-06-12/Users/m1761/Documents/New project/results/active_q25_rerun/variogram_choice.json,42,OK,,variogram_range_0.25x,0.25,31695.879367864964,116,4,165,133,324,349:22|350:22|351:17|351:18|351:20|351:21|352:19|353:13|353:17|353:20|354:21|354:23|355:13|355:21|355:22|356:10|356:15|357:20|358:12|358:9|359:20|360:11|360:19|361:9|362:4|362:6|362:8|363:7|364:7,31760.069380274774,True
