sample_id,longitude,latitude,class_code,class_name,verified,region_key,extension_stratum,final_review_decision,user_confirmation_status,user_confirmation_timestamp_utc,verification_source,verification_notes,second_reader_class_name,second_reader_confidence,final_resolution_status
RS01_001,103.5208138,1.4383726,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_003,103.5071487,2.0835607,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,medium,AGREED_ORIGINAL_AND_SECOND_READER
RS01_004,102.8987605,2.5756798,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,medium,AGREED_ORIGINAL_AND_SECOND_READER
RS01_005,102.6807954,2.1636344,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_006,102.8169735,1.8977126,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,medium,AGREED_ORIGINAL_AND_SECOND_READER
RS01_007,102.6702605,2.1374367,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_008,104.1288078,1.5563003,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,medium,AGREED_ORIGINAL_AND_SECOND_READER
RS01_009,102.7648931,2.1294615,6,builtup_other,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,ADJUDICATED_ACCEPT_SECOND_READER,builtup_other,medium,ADJUDICATED_ACCEPT_SECOND_READER
RS01_010,102.3939623,2.3634145,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_011,103.1331855,2.0308149,5,forest,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,ADJUDICATED_ACCEPT_SECOND_READER,forest,medium,ADJUDICATED_ACCEPT_SECOND_READER
RS01_012,103.6809226,2.408673,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,medium,AGREED_ORIGINAL_AND_SECOND_READER
RS01_013,103.0101811,1.795069,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_014,103.5518473,1.7818462,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
RS01_016,103.2442284,1.7130013,5,forest,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,ADJUDICATED_ACCEPT_SECOND_READER,forest,medium,ADJUDICATED_ACCEPT_SECOND_READER
RS01_017,102.6008708,2.3326234,1,oil_palm,True,study_area,,SECOND_READER_ADJUDICATED_INCLUDED,USER_CONFIRMED_EXISTING_VERIFIED,20260602T000000Z,second_reader_vhr_adjudicated_INCLUDED_20260617,AGREED_ORIGINAL_AND_SECOND_READER,oil_palm,high,AGREED_ORIGINAL_AND_SECOND_READER
