timestamp,config_hash,input_files,random_seed,status,reason,method,stack,stack_label,model,split,class_code,class_name,alpha,target_coverage,qhat,probability_threshold,n_calibration_class,n_test_class,empirical_coverage_class,average_set_size_for_true_class
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,1,oil_palm,0.1,0.9,0.95,0.050000000000000044,54,22,0.8636363636363636,3.0454545454545454
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,2,rubber,0.1,0.9,0.868,0.132,53,21,0.8095238095238095,3.0476190476190474
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,3,paddy,0.1,0.9,0.928,0.07199999999999995,53,21,0.8571428571428571,3.0
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,4,other_agri,0.1,0.9,0.966,0.03400000000000003,44,18,1.0,2.8333333333333335
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,5,forest,0.1,0.9,0.858,0.14200000000000002,64,26,0.8076923076923077,2.923076923076923
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,6,builtup_other,0.1,0.9,0.87,0.13,43,17,0.7647058823529411,3.176470588235294
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,spatial,1,oil_palm,0.1,0.9,0.964,0.03600000000000003,84,9,1.0,4.333333333333333
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,spatial,2,rubber,0.1,0.9,0.946,0.05400000000000005,52,29,1.0,4.103448275862069
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,spatial,3,paddy,0.1,0.9,0.996,0.0040000000000000036,39,29,1.0,4.551724137931035
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,spatial,4,other_agri,0.1,0.9,0.968,0.03200000000000003,55,13,1.0,4.461538461538462
