timestamp,config_hash,input_files,random_seed,status,reason,method,stack,stack_label,model,split,alpha,target_coverage,empirical_coverage,average_set_size,median_set_size,max_set_size,n_calibration,n_test,classes_retained,classes_dropped,min_calibration_class_count,max_calibration_class_count,min_qhat,max_qhat,mean_qhat
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,random,0.1,0.9,0.848,3.0,3.0,6,311,125,1|2|3|4|5|6,,43,64,0.858,0.966,0.9066666666666666
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,RandomForest,spatial,0.1,0.9,0.9788732394366197,4.267605633802817,4.0,6,362,142,1|2|3|4|5|6,,39,84,0.9299999999999999,1.0,0.9673333333333333
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,XGBoost,random,0.1,0.9,0.848,3.256,3.0,6,311,125,1|2|3|4|5|6,,43,64,0.9343863725662231,0.9862523078918457,0.9621396760145823
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B0.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B0,S2 spectral+indices,XGBoost,spatial,0.1,0.9,0.971830985915493,4.5,5.0,6,362,142,1|2|3|4|5|6,,39,84,0.9731954336166382,0.9958696365356445,0.9845155874888102
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B1.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B1,S1+S2,RandomForest,random,0.1,0.9,0.832,2.384,2.0,4,311,125,1|2|3|4|5|6,,43,64,0.79,0.9359999999999999,0.858
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B1.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B1,S1+S2,RandomForest,spatial,0.1,0.9,0.9859154929577465,3.3661971830985915,3.0,6,362,142,1|2|3|4|5|6,,39,84,0.714,1.0,0.8810000000000001
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B1.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B1,S1+S2,XGBoost,random,0.1,0.9,0.848,2.584,2.0,6,311,125,1|2|3|4|5|6,,43,64,0.852697491645813,0.9831668734550476,0.9271844923496246
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B1.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B1,S1+S2,XGBoost,spatial,0.1,0.9,0.9647887323943662,3.7253521126760565,4.0,6,362,142,1|2|3|4|5|6,,39,84,0.8040817379951477,0.9939318895339966,0.9332968691984812
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B2.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B2,AlphaEarth 64-dim embedding,RandomForest,random,0.1,0.9,0.88,1.784,2.0,3,311,125,1|2|3|4|5|6,,43,64,0.732,0.882,0.8146666666666667
20260618T163557Z,d3a51614aff30e8a8fb911715c1237164a2c427fdc17169e8c62170c04ff20b7,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\reference_samples_verified_622_public.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\data\features_fold3_teacher_vhr_repair_20260613\B2.csv;C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\active_q25_rerun\variogram_choice.json,42,OK,,mondrian_class_conditional,B2,AlphaEarth 64-dim embedding,RandomForest,spatial,0.1,0.9,0.9859154929577465,3.387323943661972,3.0,5,362,142,1|2|3|4|5|6,,39,84,0.698,1.0,0.8663333333333333
