timestamp,config_hash,input_files,random_seed,status,reason,stack,model,held_out_region,morans_i,n_samples,distance_threshold_m
20260612T173523Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_1,-0.07736943907156676,18,126783.51747145985
20260612T173527Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_1,-0.0904255319148936,18,126783.51747145985
20260612T173530Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_39_2,-0.012252115700391567,50,126783.51747145985
20260612T173534Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_39_2,-0.0038561843835677578,50,126783.51747145985
20260612T173537Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,advisor_vhr_cell_40_2,0.10565610859728512,27,126783.51747145985
20260612T173540Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,advisor_vhr_cell_40_2,0.10565610859728512,27,126783.51747145985
20260612T173544Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,RandomForest,fold3_teacher_vhr_cell_88_2,,1,126783.51747145985
20260612T173548Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,XGBoost,fold3_teacher_vhr_cell_88_2,,1,126783.51747145985
20260612T173552Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,RandomForest,fold3_teacher_vhr_cell_88_3,,1,126783.51747145985
20260612T173556Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,XGBoost,fold3_teacher_vhr_cell_88_3,,1,126783.51747145985
20260612T173600Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,RandomForest,fold3_teacher_vhr_cell_88_4,,1,126783.51747145985
20260612T173603Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,SKIPPED,Too few or constant transfer residuals.,B0,XGBoost,fold3_teacher_vhr_cell_88_4,,1,126783.51747145985
20260612T173607Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,johor_negeri_pahang_rubber_belt,0.03878154859234048,75,126783.51747145985
20260612T173611Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,johor_negeri_pahang_rubber_belt,0.03223743486255938,75,126783.51747145985
20260612T173615Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,kedah_perlis_paddy_belt,-0.002567430184943354,131,126783.51747145985
20260612T173618Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,kedah_perlis_paddy_belt,-0.006600030974074148,131,126783.51747145985
20260612T173622Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,RandomForest,study_area,-0.004988521924915528,318,126783.51747145985
20260612T173625Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B0.csv,42,OK,,B0,XGBoost,study_area,-0.002691340944286532,318,126783.51747145985
20260612T173627Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_39_1,-0.06170212765957442,18,126783.51747145985
20260612T173630Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_39_1,-0.0425531914893617,18,126783.51747145985
20260612T173635Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_39_2,-0.016591251885369477,50,126783.51747145985
20260612T173638Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_39_2,-0.025735294117647058,50,126783.51747145985
20260612T173643Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,advisor_vhr_cell_40_2,0.14258535582064996,27,126783.51747145985
20260612T173647Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,advisor_vhr_cell_40_2,0.05203619909502262,27,126783.51747145985
20260612T173649Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,RandomForest,fold3_teacher_vhr_cell_88_2,,1,126783.51747145985
20260612T173652Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,XGBoost,fold3_teacher_vhr_cell_88_2,,1,126783.51747145985
20260612T173654Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,RandomForest,fold3_teacher_vhr_cell_88_3,,1,126783.51747145985
20260612T173657Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,XGBoost,fold3_teacher_vhr_cell_88_3,,1,126783.51747145985
20260612T173700Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,RandomForest,fold3_teacher_vhr_cell_88_4,,1,126783.51747145985
20260612T173703Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,SKIPPED,Too few or constant transfer residuals.,B1,XGBoost,fold3_teacher_vhr_cell_88_4,,1,126783.51747145985
20260612T173706Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,johor_negeri_pahang_rubber_belt,-0.010822281868545957,75,126783.51747145985
20260612T173708Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,johor_negeri_pahang_rubber_belt,-0.005620229074724678,75,126783.51747145985
20260612T173712Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,kedah_perlis_paddy_belt,-0.005985375892114359,131,126783.51747145985
20260612T173715Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,kedah_perlis_paddy_belt,-0.0041011753755849385,131,126783.51747145985
20260612T173717Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,RandomForest,study_area,-0.0018553157971128323,318,126783.51747145985
20260612T173720Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B1.csv,42,OK,,B1,XGBoost,study_area,-0.0033869816932957405,318,126783.51747145985
20260612T173722Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,RandomForest,advisor_vhr_cell_39_1,0.005319148936170226,18,126783.51747145985
20260612T173724Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,XGBoost,advisor_vhr_cell_39_1,-0.10638297872340426,18,126783.51747145985
20260612T173727Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,RandomForest,advisor_vhr_cell_39_2,-0.013574660633484175,50,126783.51747145985
20260612T173731Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,XGBoost,advisor_vhr_cell_39_2,-0.005817711700064654,50,126783.51747145985
20260612T173733Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,config_fold3_teacher_vhr_repair_20260613.yaml;data/features_fold3_teacher_vhr_repair_20260613/B2.csv,42,OK,,B2,RandomForest,advisor_vhr_cell_40_2,0.1091926649202191,27,126783.51747145985
