timestamp,config_hash,input_files,random_seed,status,reason,stack,stack_label,model,split,fold,original_policy,sensitivity_policy,missing_sentinel,rows_with_missing_before_policy,sentinel_cells_before_policy,train_count_original,test_count_original,train_count_complete_case,test_count_complete_case,train_rows_dropped_missing,test_rows_dropped_missing,original_table3_oa,original_table3_macro_f1,complete_case_oa,complete_case_macro_f1,delta_oa_complete_minus_original,delta_macro_f1_complete_minus_original,sklearn_version,numpy_version,pandas_version
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,random,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,457,151,9,5,0.5512820512820513,0.5504953902529058,0.5562913907284768,0.5516299511919036,0.005009339446425454,0.001134560938997775,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,random,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,455,153,11,3,0.5641025641025641,0.5548272572085827,0.5686274509803921,0.5542146621315349,0.004524886877828038,-0.0006125950770478061,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,random,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.5483870967741935,0.538157065446527,0.5394736842105263,0.5340531540899188,-0.008913412563667178,-0.0041039113566081475,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,random,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.5161290322580645,0.5166451058567941,0.5131578947368421,0.5133158133597039,-0.0029711375212223556,-0.0033292924970902416,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,spatial,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,184,124,184,113,0,11,0.3548387096774194,0.3617094017094017,0.36283185840707965,0.3672921993271032,0.007993148729660282,0.005582797617701529,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,spatial,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,104,139,91,139,13,0,0.4172661870503597,0.3609413938825703,0.4244604316546763,0.3722730152826849,0.0071942446043165575,0.011331621400114622,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,spatial,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,30,219,30,216,0,3,0.2648401826484018,0.1622745302500562,0.26851851851851855,0.16396316735649485,0.0036783358701167335,0.0016886371064386563,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B0.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B0,S2 spectral+indices,RandomForest,spatial,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,88,140,88,140,0,0,0.2785714285714286,0.2504817656644728,0.2785714285714286,0.25048176566447283,0.0,5.551115123125783e-17,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,random,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,457,151,9,5,0.5961538461538461,0.5815356372754009,0.6026490066225165,0.5914259113787786,0.00649516046867038,0.009890274103377727,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,random,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,455,153,11,3,0.6217948717948718,0.6026994996612401,0.6078431372549019,0.5882785066021622,-0.013951734539969896,-0.014420993059077958,1.9.0,2.4.6,3.0.3
