stack,model,split,OA mean,OA SD,OA min-max,macro-F1 mean,macro-F1 SD,macro-F1 min-max,pooled OOF OA,pooled OOF macro-F1
B0,RandomForest,random,0.545,0.020,0.516-0.564,0.540,0.017,0.517-0.555,0.545,0.540
B0,RandomForest,spatial,0.329,0.071,0.265-0.417,0.284,0.096,0.162-0.362,0.320,0.312
B0,XGBoost,random,0.548,0.018,0.535-0.574,0.542,0.015,0.526-0.562,0.548,0.542
B0,XGBoost,spatial,0.330,0.097,0.237-0.432,0.300,0.119,0.158-0.412,0.317,0.315
B1,RandomForest,random,0.614,0.024,0.594-0.645,0.604,0.023,0.582-0.636,0.614,0.606
B1,RandomForest,spatial,0.394,0.060,0.339-0.475,0.329,0.089,0.219-0.427,0.391,0.363
B1,XGBoost,random,0.614,0.023,0.590-0.645,0.602,0.030,0.565-0.635,0.614,0.604
B1,XGBoost,spatial,0.391,0.037,0.352-0.439,0.339,0.063,0.245-0.383,0.386,0.368
B2,RandomForest,random,0.735,0.012,0.718-0.744,0.729,0.017,0.710-0.744,0.735,0.729
B2,RandomForest,spatial,0.494,0.106,0.370-0.589,0.427,0.159,0.205-0.546,0.476,0.446
B2,XGBoost,random,0.709,0.024,0.673-0.724,0.702,0.027,0.663-0.721,0.709,0.702
B2,XGBoost,spatial,0.450,0.109,0.333-0.565,0.395,0.150,0.181-0.516,0.432,0.410
B3,RandomForest,random,0.722,0.013,0.705-0.735,0.715,0.010,0.701-0.723,0.722,0.716
B3,RandomForest,spatial,0.483,0.095,0.370-0.581,0.411,0.145,0.208-0.531,0.466,0.435
B3,XGBoost,random,0.706,0.018,0.692-0.729,0.696,0.017,0.681-0.716,0.706,0.697
B3,XGBoost,spatial,0.458,0.101,0.356-0.573,0.403,0.131,0.219-0.520,0.442,0.419
