timestamp_utc,candidate,selection_status,distance_m,distance_km,available_spatial_blocks,required_spatial_blocks,all_folds_nonempty,min_train_count_after_buffer,min_test_count,fold_train_classes,fold_test_classes,fold_train_test_buffered,reason
20260612T172431Z,class_1_oil_palm,NOT_SELECTED,95087.63810359489,95.08763810359488,30,4,True,22,39,6|4|6|6,5|6|6|6,fold1:train=164;test=39;buffered=419;train_classes=6;test_classes=5 | fold2:train=22;test=315;buffered=285;train_classes=4;test_classes=6 | fold3:train=106;test=151;buffered=365;train_classes=6;test_classes=6 | fold4:train=103;test=117;buffered=402;train_classes=6;test_classes=6,
20260612T172431Z,class_2_rubber,NOT_SELECTED,221871.15557505476,221.87115557505476,12,4,True,3,23,1|6|4|6,6|6|6|4,fold1:train=3;test=112;buffered=507;train_classes=1;test_classes=6 | fold2:train=137;test=279;buffered=206;train_classes=6;test_classes=6 | fold3:train=14;test=208;buffered=400;train_classes=4;test_classes=6 | fold4:train=53;test=23;buffered=546;train_classes=6;test_classes=4,
20260612T172431Z,class_3_paddy,NOT_SELECTED,665613.4667251643,665.6134667251644,4,4,False,0,3,0|0|0|0,3|6|6|6,fold1:train=0;test=3;buffered=619;train_classes=0;test_classes=3 | fold2:train=0;test=389;buffered=233;train_classes=0;test_classes=6 | fold3:train=0;test=111;buffered=511;train_classes=0;test_classes=6 | fold4:train=0;test=119;buffered=503;train_classes=0;test_classes=6,
20260612T172431Z,class_4_other_agri,NOT_SELECTED,729005.2254608942,729.0052254608942,2,4,False,,,,,,Only 2 spatial blocks are available for k_folds=4.
20260612T172431Z,class_5_forest,NOT_SELECTED,95087.63810359489,95.08763810359488,30,4,True,22,39,6|4|6|6,5|6|6|6,fold1:train=164;test=39;buffered=419;train_classes=6;test_classes=5 | fold2:train=22;test=315;buffered=285;train_classes=4;test_classes=6 | fold3:train=106;test=151;buffered=365;train_classes=6;test_classes=6 | fold4:train=103;test=117;buffered=402;train_classes=6;test_classes=6,
20260612T172431Z,class_6_builtup_other,NOT_SELECTED,729005.2254608942,729.0052254608942,2,4,False,,,,,,Only 2 spatial blocks are available for k_folds=4.
20260612T172431Z,min_ok,NOT_SELECTED,95087.63810359489,95.08763810359488,30,4,True,22,39,6|4|6|6,5|6|6|6,fold1:train=164;test=39;buffered=419;train_classes=6;test_classes=5 | fold2:train=22;test=315;buffered=285;train_classes=4;test_classes=6 | fold3:train=106;test=151;buffered=365;train_classes=6;test_classes=6 | fold4:train=103;test=117;buffered=402;train_classes=6;test_classes=6,
20260612T172431Z,q25_ok_selected,SELECTED,126783.51747145985,126.78351747145986,16,4,True,30,124,6|6|6|6,6|6|6|6,fold1:train=184;test=124;buffered=314;train_classes=6;test_classes=6 | fold2:train=104;test=139;buffered=379;train_classes=6;test_classes=6 | fold3:train=30;test=219;buffered=373;train_classes=6;test_classes=6 | fold4:train=88;test=140;buffered=394;train_classes=6;test_classes=6,
20260612T172431Z,median_ok,NOT_SELECTED,443742.3111501095,443.7423111501095,5,4,False,0,2,4|0|0|6,6|6|6|1,fold1:train=20;test=36;buffered=566;train_classes=4;test_classes=6 | fold2:train=0;test=350;buffered=272;train_classes=0;test_classes=6 | fold3:train=0;test=234;buffered=388;train_classes=0;test_classes=6 | fold4:train=366;test=2;buffered=254;train_classes=6;test_classes=1,
20260612T172431Z,q75_ok,NOT_SELECTED,713157.2857769617,713.1572857769617,3,4,False,,,,,,Only 3 spatial blocks are available for k_folds=4.
20260612T172431Z,max_ok,NOT_SELECTED,729005.2254608942,729.0052254608942,2,4,False,,,,,,Only 2 spatial blocks are available for k_folds=4.
